task_id,category,golden_len,search_prefix,baseline_success,wm_result_exists_current,wm_current_success,gpt5_baseline_exists,instruction
ai2thor02436,Work,6,4,False,True,False,False,"I want to work for a while now, please open my laptop for me"
ai2thor03002,Daily,13,4,False,True,False,False,"I'm hungry, so I want to put a slice of bread into the toast"
ai2thor03003,Daily,12,2,False,True,False,False,I need to tidy up now. I need to put the apple on the right 
ai2thor03012,Daily,11,3,False,False,False,False,I'm very hungry now. Please put the egg on my right into the
ai2thor03017,Daily,5,1,True,False,False,False,I'm going to start cooking now. Please put the spatula in th
ai2thor03019,Daily,7,0,False,True,True,False,I'm about to start cooking. Please slice the tomato and put 
ai2thor03020,Daily,43,4,False,True,False,False,I'm getting ready to tidy up the kitchen. I'm thinking of pu
ai2thor03026,Daily,8,1,False,True,False,False,I think this dish is a bit too bland. Please bring the salt 
ai2thor03028,Daily,13,4,False,True,False,False,I'm hungry. Please take the egg out of the refrigerator and 
ai2thor03031,Daily,8,2,False,False,False,False,This tomato is rotten. Please throw it in the trash can.
ai2thor03034,Daily,8,0,True,False,False,False,I've cooked the potato. Please remove it from the microwave 
ai2thor03035,Daily,6,0,False,True,False,False,I'm going to start cooking now. Please wash the pan and then
ai2thor03036,Daily,11,2,False,True,True,False,"I want to slice the green in the refrigerator, then take one"
ai2thor03037,Daily,7,4,False,True,True,False,"The microwave is empty, but it's still on. Turn it off, and "
ai2thor03040,Daily,13,2,False,True,False,False,I'm going to the kitchen to get something to eat. Please tur
ai2thor03042,Daily,7,2,True,False,False,False,I have washed the spoon and fork; please remove them from th
ai2thor03051,Daily,16,6,False,True,False,False,"Please slice the tomato in the refrigerator, put one slice i"
ai2thor03052,Daily,11,3,False,True,False,False,"I'm hungry. Please slice the potato, put a slice in the pan,"
ai2thor03053,Daily,14,3,False,True,False,False,I'm about to cook. Please put the potato and egg in the pan 
ai2thor03057,Daily,16,3,False,True,False,False,I don't want to eat the apple anymore. Please put it in the 
ai2thor03058,Daily,13,3,False,True,False,False,"I'm about to start cooking, please put the spatula into the "
ai2thor03061,Daily,14,2,False,True,False,False,I've washed this tomato. Please put it in the refrigerator a
ai2thor03064,Daily,8,0,False,True,False,False,I forgot to turn off the coffee machine and the kitchen ligh
ai2thor03065,Daily,6,1,True,False,False,False,I'd like some coffee. Please put a clean mug into the coffee
ai2thor03068,Daily,16,2,False,True,False,False,"I don't want to eat lettuce, I want to eat potato. Please pu"
ai2thor03069,Daily,4,1,True,False,False,False,I accidentally threw the lettuce in the trash can. Please ta
ai2thor03070,Daily,8,0,False,True,False,False,I've just entered the kitchen. Please turn on the kitchen li
ai2thor03071,Daily,10,0,False,True,False,False,"I want to eat toast. Please slice the bread, put one slice o"
ai2thor03072,Daily,13,0,False,True,False,False,I accidentally burned the bread slice in the toaster. Please
ai2thor03075,Daily,12,1,False,True,False,False,Please help me throw the apple into the trash can and turn o
ai2thor04001,Daily,5,3,False,False,False,False,I'm about to wash my pillow. Please help me pick up the pill
ai2thor04004,Work,16,3,False,True,False,False,Please move the book from the side table next to the window 
ai2thor04005,Work,16,4,False,True,False,False,Please transfer the cellphone from the side table next to th
ai2thor04006,Work,9,1,False,True,False,False,Please move the pencil from the desk on the right to the sid
ai2thor04009,Entertain,13,3,False,True,False,False,I'd like to read a book. Please open the book on the table t
ai2thor04036,Daily,17,6,False,True,False,False,I'm getting ready for bed. Please put the teddy bear and lap
ai2thor04042,Travel,15,4,False,True,False,False,I'm getting ready to leave. Please hold my keychain and turn
ai2thor04044,Daily,9,0,False,True,False,False,"I'm going home now, please turn on all the lights in the roo"
ai2thor04046,Entertain,15,6,False,True,False,False,I want to work on my laptop while watching TV. Please enable
ai2thor04053,Entertain,16,5,False,True,False,False,I want to watch TV. Please pick up the remote and turn on th
ai2thor04054,Travel,18,1,False,True,False,False,I'm about to leave. Please take my phone and turn off all th
ai2thor04055,Daily,12,7,False,True,False,False,This tissue box is broken; please throw it in the trash can.
ai2thor04057,Entertain,11,4,False,True,False,False,I'd like to read a newspaper. Please bring one to the sofa.
ai2thor04059,Daily,12,1,False,True,False,False,"I want to organize some things, please put the tissue box in"
