model,task_id,scene,instruction,wm_success,baseline_success,wm_status,wm_fail_reason,wm_steps,wm_total_tokens
qwen3vl-8b,ai2thor02437,FloorPlan302,"I want to rest for a while, please turn off the desk lamp for me.",0,0,failed_model,Reached maximum step limit (18 steps),18,151626
qwen3vl-8b,ai2thor02763,FloorPlan22,I want to check if the tomato is rotten. Please pick up this tomato for me.,0,0,failed_model,Reached maximum step limit (20 steps),20,184854
qwen3vl-8b,ai2thor02436,FloorPlan301,"I want to work for a while now, please open my laptop for me.",0,0,failed_model,Reached maximum step limit (20 steps),20,178798
qwen3vl-8b,ai2thor03000,FloorPlan11,I'm hungry and want to take the egg out of the refrigerator and put it in the pot on the left front side. Remember to close the refrigerator door afterwards.,0,0,failed_model,Reached maximum step limit (34 steps),34,448319
qwen3vl-8b,ai2thor03001,FloorPlan11,"I'm hungry, so I want to slice all the vegetables in front of me.",0,0,failed_model,Reached maximum step limit (14 steps),14,106941
qwen3vl-8b,ai2thor03004,FloorPlan11,"I need to clean the kitchen. After cleaning the dirty pot, I need to pick it up.",1,0,success,,3,11620
qwen3vl-8b,ai2thor03002,FloorPlan11,"I'm hungry, so I want to put a slice of bread into the toaster that's already turned on.",0,0,failed_model,Reached maximum step limit (34 steps),34,449472
qwen3vl-8b,ai2thor03003,FloorPlan11,"I need to tidy up now. I need to put the apple on the right into the refrigerator, and remember to close the refrigerator door.",0,0,failed_model,Reached maximum step limit (32 steps),32,415883
qwen3vl-8b,ai2thor03007,FloorPlan12,I'm about to start cooking. Please slice all the vegetables in front of you.,1,0,success,,3,11716
qwen3vl-8b,ai2thor03005,FloorPlan12,The kitchen is ready. Please fill a cup with water and turn off the light.,0,0,failed_model,Reached maximum step limit (26 steps),26,298918
qwen3vl-8b,ai2thor03008,FloorPlan12,I'm about to cook. Please put the egg in the pot.,0,0,failed_model,Reached maximum step limit (20 steps),20,185153
qwen3vl-8b,ai2thor03006,FloorPlan12,"I'm full. Now I need to put the bread in the refrigerator, and remember to close the refrigerator door.",0,0,failed_model,Reached maximum step limit (30 steps),30,360840
qwen3vl-8b,ai2thor03011,FloorPlan13,"I'm very hungry now, please slice the bread and pick it up.",1,0,success,,3,11621
qwen3vl-8b,ai2thor03010,FloorPlan13,I'm hungry. Please put the bread in the microwave and turn it on.,0,0,failed_model,Reached maximum step limit (30 steps),30,359982
qwen3vl-8b,ai2thor03012,FloorPlan13,"I'm very hungry now. Please put the egg on my right into the pan, crack it, and cook it.",0,0,failed_model,Reached maximum step limit (30 steps),30,368714
qwen3vl-8b,ai2thor03009,FloorPlan12,I'm going to clean the kitchen now. Please clean the dirty mug and cup in front of you and put them in the refrigerator. Remember to close the refrigerator door.,0,0,failed_model,Reached maximum step limit (50 steps),50,826471
qwen3vl-8b,ai2thor03014,FloorPlan13,"I want to cook, please chop all the vegetables in front of me.",0,0,failed_model,Reached maximum step limit (26 steps),26,304107
qwen3vl-8b,ai2thor03022,FloorPlan15,I'd like to drink coffee. Please put the mug in the coffee machine and turn it on.,1,0,success,,4,16872
qwen3vl-8b,ai2thor03023,FloorPlan15,I want to tidy up the kitchen. Please put the mug on the countertop and then turn off the coffee machine.,0,1,failed_model,Model claimed DONE but success conditions not met,2,7182
qwen3vl-8b,ai2thor03024,FloorPlan15,"I want to eat bread. Please slice the bread, put one slice into the toaster, and turn on the toaster.",0,0,failed_model,Reached maximum step limit (30 steps),30,356521
qwen3vl-8b,ai2thor03025,FloorPlan20,I need to tidy up the counter now. Please put the soap bottle in front of me on the shelf next to the window.,0,0,failed_model,Reached maximum step limit (30 steps),30,370096
qwen3vl-8b,ai2thor03027,FloorPlan20,I'd like some soup. Please bring me the spoon to the table.,0,0,failed_model,Reached maximum step limit (18 steps),18,151091
qwen3vl-8b,ai2thor03020,FloorPlan15,"I'm getting ready to tidy up the kitchen. I'm thinking of putting the potato, tomato, and lettuce in the fridge. Remember to close the fridge door.",0,0,failed_model,Reached maximum step limit (94 steps),94,1681435
qwen3vl-8b,ai2thor03026,FloorPlan20,I think this dish is a bit too bland. Please bring the salt shaker to the table.,0,0,failed_model,Reached maximum step limit (24 steps),24,253087
qwen3vl-8b,ai2thor03021,FloorPlan15,"I'm going to start cooking now, please take all the vegetables out of the refrigerator and put them on the counter.",0,0,failed_model,Reached maximum step limit (68 steps),68,1186058
qwen3vl-8b,ai2thor03028,FloorPlan20,I'm hungry. Please take the egg out of the refrigerator and put it in a bowl.,0,0,failed_model,Reached maximum step limit (34 steps),34,444615
qwen3vl-8b,ai2thor03033,FloorPlan21,"I'm hungry. Please put the potato in the microwave ,close it and turn it on.",0,0,failed_model,Model determined task cannot be completed or refused to continue,1,3301
qwen3vl-8b,ai2thor03030,FloorPlan21,"I'm leaving the kitchen, please turn off all the lights.",0,0,failed_model,Reached maximum step limit (20 steps),20,190247
qwen3vl-8b,ai2thor03031,FloorPlan21,This tomato is rotten. Please throw it in the trash can.,0,0,failed_model,Reached maximum step limit (24 steps),24,249043
qwen3vl-8b,ai2thor03032,FloorPlan21,I'm about to start cooking. Please slice the tomato on the left and put one slice into the pot.,0,0,failed_model,Reached maximum step limit (26 steps),26,291082
qwen3vl-8b,ai2thor03034,FloorPlan21,I've cooked the potato. Please remove it from the microwave and place it on a plate. Remember to turn off the microwave.,0,0,failed_model,Reached maximum step limit (24 steps),24,243882
qwen3vl-8b,ai2thor03029,FloorPlan20,I'm full. Please put the potato on a plate and then put it in the refrigerator.And remember to close the refrigerator door after putting the plate inside.,0,0,failed_model,Reached maximum step limit (46 steps),46,726954
qwen3vl-8b,ai2thor03035,FloorPlan22,I'm going to start cooking now. Please wash the pan and then put the spatula into it.,0,0,failed_model,Reached maximum step limit (20 steps),20,189096
qwen3vl-8b,ai2thor03036,FloorPlan22,"I want to slice the green in the refrigerator, then take one slice and put it in the pan, remembering to close the refrigerator door.",0,0,failed_model,Reached maximum step limit (30 steps),30,356858
qwen3vl-8b,ai2thor03037,FloorPlan22,"The microwave is empty, but it's still on. Turn it off, and then open the microwave door.",0,0,failed_model,Reached maximum step limit (22 steps),22,215363
qwen3vl-8b,ai2thor03041,FloorPlan23,"Please clean the pan and bowl for me, then turn off the light; I'm getting ready to leave.",0,0,failed_model,Reached maximum step limit (22 steps),22,223854
qwen3vl-8b,ai2thor03042,FloorPlan23,I have washed the spoon and fork; please remove them from the sink and place them on the countertop.,0,0,failed_model,Reached maximum step limit (22 steps),22,216971
qwen3vl-8b,ai2thor03040,FloorPlan23,I'm going to the kitchen to get something to eat. Please turn on the kitchen light and then pick up the apple.,0,0,failed_model,Reached maximum step limit (34 steps),34,462198
qwen3vl-8b,ai2thor03038,FloorPlan22,"Please put the potato in the refrigerator, and then take the lettuce out of the refrigerator and put it on the counter.Remember to close the fridge.",0,0,failed_model,Reached maximum step limit (44 steps),44,636946
qwen3vl-8b,ai2thor03043,FloorPlan23,The pencil on the table is broken; please throw it in the trash can.,0,0,failed_model,Reached maximum step limit (24 steps),24,247342
qwen3vl-8b,ai2thor03045,FloorPlan24,"I need to wipe my mouth, please place the tissue roll on the table.",0,0,failed_model,Model claimed DONE but success conditions not met,3,11816
qwen3vl-8b,ai2thor03050,FloorPlan25,I've washed the apple and lettuce; please take them from the sink to the countertop.,1,0,success,,7,35873
qwen3vl-8b,ai2thor03046,FloorPlan24,I'm going to make coffee. Please clean the mug and then put it in the coffee machine.,0,0,failed_model,Reached maximum step limit (22 steps),22,218454
qwen3vl-8b,ai2thor03044,FloorPlan23,I forgot to turn off the lights and close the refrigerator door when I left. Please close them.,0,0,failed_model,Reached maximum step limit (28 steps),28,333073
qwen3vl-8b,ai2thor03047,FloorPlan24,I want to eat a potato. Please put the potato in the pot and cook it.,0,0,failed_model,Reached maximum step limit (32 steps),32,407208
